Ticker,Year,Month,Month_Name,IndexName,Monthly_TSR,MonthlyVolatility,MonthlyVolatiltyRolling,MonthlySharpe,MonthlySharpe_Rolling,FirstClose,LastClose,Trading_Days,CompleteMonth,LastUpdated
^GSPC,2020,1,January,S&P 500,-0.0099,0.034,0.034,-0.29,-0.29,3257.8501,3225.52,21,yes,2026-02-28 15:47:22.414217
^GSPC,2020,2,February,S&P 500,-0.0907,0.0689,0.0529,-1.32,-1.72,3248.9199,2954.22,19,yes,2026-02-28 15:47:22.423173
^GSPC,2020,3,March,S&P 500,-0.1636,0.2776,0.1695,-0.59,-0.97,3090.23,2584.5901,22,yes,2026-02-28 15:47:22.431161
^GSPC,2020,4,April,S&P 500,0.1789,0.1098,0.1555,1.63,1.15,2470.5,2912.4299,21,yes,2026-02-28 15:47:22.442229
^GSPC,2020,5,May,S&P 500,0.0755,0.0577,0.1388,1.31,0.54,2830.71,3044.3101,20,yes,2026-02-28 15:47:22.452327
^GSPC,2020,6,June,S&P 500,0.0146,0.0889,0.1368,0.16,0.11,3055.73,3100.29,22,yes,2026-02-28 15:47:22.462823
^GSPC,2020,7,July,S&P 500,0.0498,0.0402,0.1269,1.24,0.39,3115.8601,3271.1201,22,yes,2026-02-28 15:47:22.474175
^GSPC,2020,8,August,S&P 500,0.0624,0.0237,0.1162,2.64,0.54,3294.6101,3500.3101,21,yes,2026-02-28 15:47:22.485563
^GSPC,2020,9,September,S&P 500,-0.0464,0.0725,0.112,-0.64,-0.41,3526.6499,3363.0,21,yes,2026-02-28 15:47:22.497277
^GSPC,2020,10,October,S&P 500,-0.0328,0.0628,0.1102,-0.52,-0.3,3380.8,3269.96,22,yes,2026-02-28 15:47:22.510598
^GSPC,2020,11,November,S&P 500,0.0941,0.046,0.1015,2.05,0.93,3310.24,3621.6299,20,yes,2026-02-28 15:47:22.520956
^GSPC,2020,12,December,S&P 500,0.0256,0.0239,0.1021,1.07,0.25,3662.45,3756.0701,22,yes,2026-02-28 15:47:22.530324
^GSPC,2021,1,January,S&P 500,0.0037,0.0456,0.0953,0.08,0.04,3700.6499,3714.24,19,yes,2026-02-28 15:47:22.540781
^GSPC,2021,2,February,S&P 500,0.0099,0.0372,0.0939,0.27,0.11,3773.8601,3811.1499,19,yes,2026-02-28 15:47:22.549383
^GSPC,2021,3,March,S&P 500,0.0182,0.0455,0.0627,0.4,0.29,3901.8201,3972.8899,23,yes,2026-02-28 15:47:22.558279
^GSPC,2021,4,April,S&P 500,0.0401,0.0305,0.0511,1.32,0.79,4019.8701,4181.1699,21,yes,2026-02-28 15:47:22.566820
^GSPC,2021,5,May,S&P 500,0.0027,0.0407,0.0485,0.07,0.06,4192.6602,4204.1099,20,yes,2026-02-28 15:47:22.575774
^GSPC,2021,6,June,S&P 500,0.0227,0.0253,0.0448,0.9,0.51,4202.04,4297.5,22,yes,2026-02-28 15:47:22.585179
^GSPC,2021,7,July,S&P 500,0.0174,0.0346,0.0434,0.5,0.4,4319.9399,4395.2598,21,yes,2026-02-28 15:47:22.593827
^GSPC,2021,8,August,S&P 500,0.0309,0.0248,0.0444,1.25,0.7,4387.1602,4522.6802,22,yes,2026-02-28 15:47:22.603099
^GSPC,2021,9,September,S&P 500,-0.0479,0.0376,0.0398,-1.27,-1.2,4524.0898,4307.54,21,yes,2026-02-28 15:47:22.612516
^GSPC,2021,10,October,S&P 500,0.057,0.0309,0.0369,1.85,1.55,4357.04,4605.3799,21,yes,2026-02-28 15:47:22.622753
^GSPC,2021,11,November,S&P 500,-0.0101,0.0382,0.0357,-0.26,-0.28,4613.6699,4567.0,21,yes,2026-02-28 15:47:22.632825
^GSPC,2021,12,December,S&P 500,0.0561,0.0495,0.0385,1.13,1.46,4513.04,4766.1802,22,yes,2026-02-28 15:47:22.642354
^GSPC,2022,1,January,S&P 500,-0.0586,0.0533,0.0374,-1.1,-1.57,4796.5601,4515.5498,20,yes,2026-02-28 15:47:22.653237
^GSPC,2022,2,February,S&P 500,-0.038,0.063,0.0385,-0.6,-0.99,4546.54,4373.9399,19,yes,2026-02-28 15:47:22.662935
^GSPC,2022,3,March,S&P 500,0.0521,0.0693,0.0451,0.75,1.15,4306.2598,4530.4102,23,yes,2026-02-28 15:47:22.673818
^GSPC,2022,4,April,S&P 500,-0.0911,0.0704,0.0459,-1.29,-1.98,4545.8599,4131.9302,20,yes,2026-02-28 15:47:22.684074
^GSPC,2022,5,May,S&P 500,-0.0056,0.0924,0.0523,-0.06,-0.11,4155.3799,4132.1499,21,yes,2026-02-28 15:47:22.693754
^GSPC,2022,6,June,S&P 500,-0.077,0.087,0.0573,-0.88,-1.34,4101.23,3785.3799,21,yes,2026-02-28 15:47:22.704669
^GSPC,2022,7,July,S&P 500,0.0797,0.0553,0.0575,1.44,1.39,3825.3301,4130.29,20,yes,2026-02-28 15:47:22.715422
^GSPC,2022,8,August,S&P 500,-0.0397,0.0599,0.0636,-0.66,-0.62,4118.6299,3955.0,23,yes,2026-02-28 15:47:22.726193
^GSPC,2022,9,September,S&P 500,-0.0961,0.07,0.063,-1.37,-1.52,3966.8501,3585.6201,21,yes,2026-02-28 15:47:22.736894
^GSPC,2022,10,October,S&P 500,0.0526,0.0793,0.0666,0.66,0.79,3678.4299,3871.98,21,yes,2026-02-28 15:47:22.747487
^GSPC,2022,11,November,S&P 500,0.0581,0.0824,0.0697,0.7,0.83,3856.1001,4080.1101,21,yes,2026-02-28 15:47:22.757800
