Ticker,Year,Month,MonthName,Company_Name,Sector,Monthly_TSR,MonthlyVolatility,MonthlyVolatiltyRolling,MonthlySharpe,MonthlySharpeRolling,FirstClose,LastClose,TradingDays,Complete_Month,LastUpdated
AAPL,2020,1,January,Apple Inc.,Technology,0.0305,0.081,0.081,0.38,0.38,72.4005,74.6086,21,True,2026-02-22 21:25:17.445235
AAPL,2020,2,February,Apple Inc.,Technology,-0.1097,0.1085,0.0924,-1.01,-1.19,74.4037,66.0509,19,True,2026-02-22 21:25:17.466729
AAPL,2020,3,March,Apple Inc.,Technology,-0.149,0.2957,0.197,-0.5,-0.76,72.2002,61.4431,22,True,2026-02-22 21:25:17.512130
AAPL,2020,4,April,Apple Inc.,Technology,0.2195,0.1284,0.1807,1.71,1.22,58.2101,70.9897,21,True,2026-02-22 21:25:17.532869
AAPL,2020,5,May,Apple Inc.,Technology,0.1058,0.0518,0.1598,2.04,0.66,69.8468,77.0305,20,True,2026-02-22 21:25:17.548704
AAPL,2020,6,June,Apple Inc.,Technology,0.1334,0.0954,0.157,1.4,0.85,77.9778,88.3837,22,True,2026-02-22 21:25:17.595953
AAPL,2020,7,July,Apple Inc.,Technology,0.1673,0.1308,0.1528,1.28,1.1,88.2166,102.9787,22,True,2026-02-22 21:25:17.633012
AAPL,2020,8,August,Apple Inc.,Technology,0.1886,0.0921,0.1434,2.05,1.32,105.5735,125.2807,21,True,2026-02-22 21:25:17.667950
AAPL,2020,9,September,Apple Inc.,Technology,-0.1369,0.1545,0.1451,-0.89,-0.94,130.271,112.4361,21,True,2026-02-22 21:25:17.691850
AAPL,2020,10,October,Apple Inc.,Technology,-0.0679,0.1326,0.1466,-0.51,-0.46,113.3876,105.6886,22,True,2026-02-22 21:25:17.717083
AAPL,2020,11,November,Apple Inc.,Technology,0.0983,0.0815,0.1355,1.21,0.73,105.6012,115.7812,20,True,2026-02-22 21:25:17.745784
AAPL,2020,12,December,Apple Inc.,Technology,0.0812,0.0814,0.1382,1.0,0.59,119.3504,129.0466,22,True,2026-02-22 21:25:17.777620
AAPL,2021,1,January,Apple Inc.,Technology,0.0197,0.1051,0.1299,0.19,0.15,125.8567,128.3367,19,True,2026-02-22 21:25:17.810811
AAPL,2021,2,February,Apple Inc.,Technology,-0.0931,0.0587,0.1276,-1.59,-0.73,130.4568,118.1067,19,True,2026-02-22 21:25:17.848820
AAPL,2021,3,March,Apple Inc.,Technology,-0.0441,0.0987,0.1111,-0.45,-0.4,124.4669,118.9736,23,True,2026-02-22 21:25:17.895218
AAPL,2021,4,April,Apple Inc.,Technology,0.0688,0.0637,0.101,1.08,0.68,119.8015,128.0415,21,True,2026-02-22 21:25:17.928052
AAPL,2021,5,May,Apple Inc.,Technology,-0.0565,0.0712,0.0995,-0.79,-0.57,129.0934,121.5757,20,True,2026-02-22 21:25:17.944814
AAPL,2021,6,June,Apple Inc.,Technology,0.102,0.0458,0.1016,2.23,1.0,121.2538,133.625,22,True,2026-02-22 21:25:17.965145
AAPL,2021,7,July,Apple Inc.,Technology,0.0626,0.0659,0.0939,0.95,0.67,133.9275,142.3083,21,True,2026-02-22 21:25:17.981039
AAPL,2021,8,August,Apple Inc.,Technology,0.0465,0.0553,0.0923,0.84,0.5,141.9766,148.3549,22,True,2026-02-22 21:25:17.998140
AAPL,2021,9,September,Apple Inc.,Technology,-0.0722,0.0611,0.0808,-1.18,-0.89,149.0193,138.2613,21,True,2026-02-22 21:25:18.016238
AAPL,2021,10,October,Apple Inc.,Technology,0.0501,0.0553,0.0735,0.91,0.68,139.385,146.3713,21,True,2026-02-22 21:25:18.034552
AAPL,2021,11,November,Apple Inc.,Technology,0.1128,0.0675,0.072,1.67,1.57,145.5506,161.7523,21,True,2026-02-22 21:25:18.053755
AAPL,2021,12,December,Apple Inc.,Technology,0.0777,0.0884,0.0739,0.88,1.05,161.2336,173.759,22,True,2026-02-22 21:25:18.070667
AAPL,2022,1,January,Apple Inc.,Technology,-0.0397,0.0974,0.07,-0.41,-0.57,178.1036,171.0289,20,True,2026-02-22 21:25:18.086999
AAPL,2022,2,February,Apple Inc.,Technology,-0.0519,0.0676,0.0667,-0.77,-0.78,170.8625,161.782,19,True,2026-02-22 21:25:18.099510
AAPL,2022,3,March,Apple Inc.,Technology,0.0699,0.0966,0.0731,0.72,0.96,159.9008,171.0802,23,True,2026-02-22 21:25:18.110291
AAPL,2022,4,April,Apple Inc.,Technology,-0.0956,0.0983,0.0717,-0.97,-1.33,170.7863,154.463,20,True,2026-02-22 21:25:18.120904
AAPL,2022,5,May,Apple Inc.,Technology,-0.0549,0.1462,0.0814,-0.38,-0.67,154.7668,146.0454,21,True,2026-02-22 21:25:18.129859
AAPL,2022,6,June,Apple Inc.,Technology,-0.0806,0.1141,0.0864,-0.71,-0.93,145.9178,134.153,21,True,2026-02-22 21:25:18.137193
AAPL,2022,7,July,Apple Inc.,Technology,0.1697,0.071,0.0852,2.39,1.99,136.3214,159.4587,20,True,2026-02-22 21:25:18.145276
AAPL,2022,8,August,Apple Inc.,Technology,-0.0238,0.0795,0.0929,-0.3,-0.26,158.4775,154.4823,23,True,2026-02-22 21:25:18.152270
AAPL,2022,9,September,Apple Inc.,Technology,-0.1251,0.1079,0.0923,-1.16,-1.35,155.2095,135.7935,21,True,2026-02-22 21:25:18.159751
AAPL,2022,10,October,Apple Inc.,Technology,0.0764,0.1224,0.0976,0.62,0.78,139.9695,150.6699,21,True,2026-02-22 21:25:18.165835
AAPL,2022,11,November,Apple Inc.,Technology,-0.0142,0.1399,0.1031,-0.1,-0.14,148.0267,145.6936,21,True,2026-02-22 21:25:18.171327
AAPL,2022,12,December,Apple Inc.,Technology,-0.1239,0.085,0.103,-1.46,-1.2,145.9692,127.8793,21,True,2026-02-22 21:25:18.178029
